#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Oct 05 22:41:57 EDT 2019,90,90,Assignment2Suite,BasicOrChecker+ ClassRegistryProvided+ CombinationChecker+ CondChecker+ EvalChecker+ ExtraCondChecker+ GreaterChecker+ GreaterOrEqualChecker+ LessChecker+ LessOrEqualChecker+ ListChecker+ ListChecker2+ MainClassProvided+ NotChecker+ OperationRegistryProvided+ QuoteChecker+ SExpressionClassProvided+ VariableArgumentOrChecker+ , ,BasicAndChecker- VariableArgumentAndChecker- , ,
1,Sun Oct 06 09:55:14 EDT 2019,40,-50,Assignment2Suite,BasicOrChecker ClassRegistryProvided ListChecker ListChecker2 MainClassProvided OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,BasicAndChecker CombinationChecker- CondChecker- EvalChecker- ExtraCondChecker- GreaterChecker- GreaterOrEqualChecker- LessChecker- LessOrEqualChecker- NotChecker- VariableArgumentAndChecker VariableArgumentOrChecker- , ,
2,Sun Oct 06 09:55:58 EDT 2019,40,0,Assignment2Suite,BasicOrChecker ClassRegistryProvided ListChecker ListChecker2 MainClassProvided OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,BasicAndChecker CombinationChecker CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker NotChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
3,Sun Oct 06 10:05:13 EDT 2019,40,0,A2LogicalSuite,BasicOrChecker ClassRegistryProvided ListChecker ListChecker2 MainClassProvided OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,BasicAndChecker CombinationChecker CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker NotChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
4,Sun Oct 06 10:52:11 EDT 2019,40,0,Assignment2Suite,BasicOrChecker ClassRegistryProvided ListChecker ListChecker2 MainClassProvided OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,BasicAndChecker CombinationChecker CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker NotChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
5,Sun Oct 06 14:25:14 EDT 2019,80,40,Assignment2Suite,BasicOrChecker ClassRegistryProvided CondChecker+ EvalChecker+ ExtraCondChecker+ GreaterChecker+ GreaterOrEqualChecker+ LessChecker+ LessOrEqualChecker+ ListChecker ListChecker2 MainClassProvided NotChecker+ OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,BasicAndChecker CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
6,Sun Oct 06 14:27:20 EDT 2019,80,0,Assignment2Suite,BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,BasicAndChecker CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
7,Sun Oct 06 16:28:24 EDT 2019,80,0,Assignment2Suite,BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,BasicAndChecker CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
8,Sun Oct 06 20:08:58 EDT 2019,80,0,Assignment2Suite,BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,BasicAndChecker CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
9,Sun Oct 06 20:23:56 EDT 2019,85,5,Assignment2Suite,BasicAndChecker+ BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
10,Sun Oct 06 20:24:44 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
11,Sun Oct 06 20:28:31 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
12,Sun Oct 06 20:30:37 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
13,Sun Oct 06 20:36:02 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
14,Sun Oct 06 20:39:52 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
15,Sun Oct 06 20:45:27 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
16,Sun Oct 06 20:50:50 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
17,Sun Oct 06 21:09:44 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
18,Sun Oct 06 21:55:53 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
19,Sun Oct 06 22:16:59 EDT 2019,85,0,Assignment2Suite,BasicAndChecker BasicOrChecker ClassRegistryProvided CondChecker EvalChecker ExtraCondChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 MainClassProvided NotChecker OperationRegistryProvided QuoteChecker SExpressionClassProvided , ,CombinationChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,
