#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Nov 05 15:32:28 EST 2019,73,73,Assignment3Suite,ClassRegistryProvided+ DotCatChecker+ FunArgNumAtomChecker+ FunArgNumAtomGenChecker+ FunArgToStringChecker+ FunArgToStringGenChecker+ FunExpGeneratedNumAtomChecker+ FunExpGeneratedToStringChecker+ FunExpTraverseGenChecker+ LetGeneratedNumAtomChecker+ LetGeneratedToStringChecker+ LoadLispChecker+ MainClassProvided+ OneChecker+ SExpressionClassProvided+ SumChecker+ TestLispFileProvided+ , ,CurriedNumAtomChecker- CurriedToStringChecker- FunExpTraverseGenChecker2- OperationRegistryProvided- TraverseChecker- WriteToStringChecker- ,LoadLispChecker TestLispFileProvided ,
1,Tue Nov 05 16:23:06 EST 2019,73,0,Assignment3Suite,ClassRegistryProvided DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker MainClassProvided OneChecker SExpressionClassProvided SumChecker TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker FunExpTraverseGenChecker2 OperationRegistryProvided TraverseChecker WriteToStringChecker , ,
2,Tue Nov 05 16:36:11 EST 2019,43,-30,Assignment3Suite,ClassRegistryProvided DotCatChecker LoadLispChecker MainClassProvided OneChecker SExpressionClassProvided SumChecker TestLispFileProvided TraverseChecker+ WriteToStringChecker+ , ,CurriedNumAtomChecker CurriedToStringChecker FunArgNumAtomChecker- FunArgNumAtomGenChecker- FunArgToStringChecker- FunArgToStringGenChecker- FunExpGeneratedNumAtomChecker- FunExpGeneratedToStringChecker- FunExpTraverseGenChecker- FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker- LetGeneratedToStringChecker- LoadLispChecker- OperationRegistryProvided , ,
3,Tue Nov 05 16:37:25 EST 2019,21,-22,Assignment3Suite,ClassRegistryProvided LoadLispChecker MainClassProvided SExpressionClassProvided TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker DotCatChecker- FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker OneChecker- OperationRegistryProvided SumChecker- TraverseChecker- WriteToStringChecker- , ,
4,Tue Nov 05 16:37:29 EST 2019,21,0,A3FunctionExpressionsSuite,ClassRegistryProvided LoadLispChecker MainClassProvided SExpressionClassProvided TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker OneChecker OperationRegistryProvided SumChecker TraverseChecker WriteToStringChecker , ,
5,Tue Nov 05 16:37:31 EST 2019,21,0,A3RequiredClassesSuite,ClassRegistryProvided LoadLispChecker MainClassProvided SExpressionClassProvided TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker OneChecker OperationRegistryProvided SumChecker TraverseChecker WriteToStringChecker , ,
6,Tue Nov 05 16:37:32 EST 2019,21,0,A3RequiredClassesSuite,ClassRegistryProvided LoadLispChecker MainClassProvided SExpressionClassProvided TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker OneChecker OperationRegistryProvided SumChecker TraverseChecker WriteToStringChecker , ,
7,Tue Nov 05 16:38:05 EST 2019,21,0,Assignment3Suite,ClassRegistryProvided LoadLispChecker MainClassProvided SExpressionClassProvided TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker OneChecker OperationRegistryProvided SumChecker TraverseChecker WriteToStringChecker , ,
8,Tue Nov 05 16:40:09 EST 2019,21,0,Assignment3Suite,ClassRegistryProvided LoadLispChecker MainClassProvided SExpressionClassProvided TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker OneChecker OperationRegistryProvided SumChecker TraverseChecker WriteToStringChecker , ,
9,Tue Nov 05 16:41:14 EST 2019,73,52,Assignment3Suite,ClassRegistryProvided DotCatChecker+ FunArgNumAtomChecker+ FunArgNumAtomGenChecker+ FunArgToStringChecker+ FunArgToStringGenChecker+ FunExpGeneratedNumAtomChecker+ FunExpGeneratedToStringChecker+ FunExpTraverseGenChecker+ LetGeneratedNumAtomChecker+ LetGeneratedToStringChecker+ LoadLispChecker MainClassProvided OneChecker+ SExpressionClassProvided SumChecker+ TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker FunExpTraverseGenChecker2 OperationRegistryProvided TraverseChecker WriteToStringChecker , ,
10,Tue Nov 05 16:45:00 EST 2019,78,5,Assignment3Suite,ClassRegistryProvided DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker MainClassProvided OneChecker OperationRegistryProvided+ SExpressionClassProvided SumChecker TestLispFileProvided , ,CurriedNumAtomChecker CurriedToStringChecker FunExpTraverseGenChecker2 TraverseChecker WriteToStringChecker , ,
11,Tue Nov 05 16:45:26 EST 2019,86,8,Assignment3Suite,ClassRegistryProvided DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2+ LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker MainClassProvided OneChecker SExpressionClassProvided SumChecker TestLispFileProvided TraverseChecker+ WriteToStringChecker+ , ,CurriedNumAtomChecker CurriedToStringChecker OperationRegistryProvided- , ,
12,Tue Nov 05 16:47:42 EST 2019,86,0,Assignment3Suite,ClassRegistryProvided DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker MainClassProvided OneChecker SExpressionClassProvided SumChecker TestLispFileProvided TraverseChecker WriteToStringChecker , ,CurriedNumAtomChecker CurriedToStringChecker OperationRegistryProvided , ,
13,Tue Nov 05 16:59:27 EST 2019,86,0,Assignment3Suite,ClassRegistryProvided DotCatChecker FunArgNumAtomChecker FunArgNumAtomGenChecker FunArgToStringChecker FunArgToStringGenChecker FunExpGeneratedNumAtomChecker FunExpGeneratedToStringChecker FunExpTraverseGenChecker FunExpTraverseGenChecker2 LetGeneratedNumAtomChecker LetGeneratedToStringChecker LoadLispChecker MainClassProvided OneChecker SExpressionClassProvided SumChecker TestLispFileProvided TraverseChecker WriteToStringChecker , ,CurriedNumAtomChecker CurriedToStringChecker OperationRegistryProvided , ,
